 2	 1
 6	 2
 2013	 3
 10	 4
 48	 5
 35	 6
 .01	 7
 11	 11
 7777	 12
 1	 13
 0	 40
 11	 14
 687670	 25
 687670	 17
 687670	 19
 687670	 21
 687720	 26
 689020	 23
 689820	 24
 690020	 23
 691080	 24
 692130	 23
 693380	 24
 696080	 27
 696730	 18
 696730	 20
 696730	 22
 696730	 30
 696730	 36
 697030	 28
 697230	 27
 697280	 28
 697780	 27
 698680	 28
 741740	 33
 1043040	 25
 1043040	 17
 1043040	 19
 1043040	 21
 1043040	 26
 1043270	 25
 1043720	 26
 1052080	 18
 1052130	 20
 1052130	 22
 1061490	 27
 1061490	 30
 1061490	 36
 1061700	 28
 1062850	 27
 1063660	 28
 1187810	 27
 1189020	 28
 1229490	 33
 4865600	 25
 4865600	 17
 4865600	 19
 4865600	 21
 4865600	 26
 4865740	 25
 4866300	 26
 4866540	 25
 4867390	 26
 4871460	 23
 4872090	 24
 4872490	 23
 4872590	 24
 4874650	 18
 4874650	 20
 4874650	 22
 4875700	 27
 4875700	 30
 4875700	 36
 4875700	 28
 4876510	 27
 4877610	 28
 5035740	 33
 10533250	 27
 10533510	 28
 10536660	 23
 10536860	 24
 10537010	 23
 10537010	 24
 10537070	 23
 10537370	 24
 10541870	 27
 10542070	 28
 10543520	 27
 10543720	 28
 10544220	 27
 10545170	 28
 10556580	 25
 10556580	 17
 10556580	 19
 10556580	 21
 10557480	 26
 10558730	 25
 10559030	 26
 10559640	 18
 10559640	 20
 10559640	 22
 10568790	 27
 10568790	 36
 10569070	 28
 10693800	 33
 13243740	 25
 13243740	 17
 13243740	 19
 13243740	 21
 13244590	 26
 13246790	 23
 13248790	 24
 13252800	 18
 13252800	 20
 13252800	 22
 13253200	 27
 13253200	 30
 13253200	 36
 13253400	 28
 13254050	 27
 13254350	 28
 13254510	 27
 13255480	 28
 13308200	 33
 15577850	 25
 15577850	 17
 15577850	 19
 15577850	 21
 15577850	 26
 15578220	 25
 15578420	 26
 15580090	 27
 15580420	 28
 15580920	 18
